name,current_color,price,sale_price,badge,image_url,product_url,colors_available,sizes_available,rating,review_count,scraped_at
Airlift Intrigue Bra - Espresso,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9679R_04064_b2_s1_a1_1_m254_a691aafb-fe82-4263-bd7b-853a3a7e41e0_320x.jpg?v=1755014101,https://www.aloyoga.com/products/w9679r-airlift-intrigue-bra-espresso,"Espresso, 12, 12, Espresso, Black, Navy, Anthracite, Toasted Almond, Pink Wild Rose, White",,,,2025-09-06 14:02:15
7/8 High-Waist Airlift Legging - Espresso,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W51314R_04064_b2_s1_a1_1_m54_320x.jpg?v=1745619160,https://www.aloyoga.com/products/w51314r-7-8-high-waist-airlift-legging-espresso,"Espresso, 12, 12, Espresso, Black, Navy, Anthracite, Pink Wild Rose, Green Olive, Gravel",,,,2025-09-06 14:02:16
Work It Mini Skirt - Green Olive,,$98,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W6503R_06464_b2_s1_a1_m176_320x.jpg?v=1755864852,https://www.aloyoga.com/products/w6503r-work-it-mini-skirt-green-olive,"Green Olive, Green Olive, Black",,,,2025-09-06 14:02:17
Work It Bomber - Green Olive,,$228,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W4689R_06464_b2_s1_a1_m176_320x.jpg?v=1755863588,https://www.aloyoga.com/products/w4689r-work-it-bomber-green-olive,"Green Olive, Green Olive, Black",,,,2025-09-06 14:02:17
Airlift Intrigue Bra - Black,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9679R_01_b2_s1_a1_1_m190_320x.jpg?v=1756827754,https://www.aloyoga.com/products/w9679r-airlift-intrigue-bra-black,"Black, 12, 12, Black, Espresso, Navy, Anthracite, Toasted Almond, Pink Wild Rose, White",,,,2025-09-06 14:02:18
7/8 High-Waist Airlift Legging - Black,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W5766R_01_b2_s1_a1_1_m255_320x.jpg?v=1756827034,https://www.aloyoga.com/products/w5766r-7-8-high-waist-airlift-legging-black,"Black, 12, 12, Black, Espresso, Navy, Anthracite, Pink Wild Rose, Green Olive, Gravel",,,,2025-09-06 14:02:19
Cropped Serenity Coverup - Ivory,,$118,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W3875R_03299_b2_s1_a1_1_m190_320x.jpg?v=1756827401,https://www.aloyoga.com/products/w3875r-cropped-serenity-coverup-ivory,"Ivory, Ivory, Black, Athletic Heather Grey",,,,2025-09-06 14:02:19
Accolade Short - Ivory,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W6472RG_03299_b1_s1_a6_m240_320x.jpg?v=1755913915,https://www.aloyoga.com/products/w6472rg-accolade-short-ivory,"Ivory, 4, 4, Ivory, Black, Athletic Heather Grey, Navy, Pink Wild Rose, Lunar Grey, White",,,,2025-09-06 14:02:20
Ribbed Sea Coast Cropped Short Sleeve Tee - Ivory,,$58,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W1445R_03299_b1_s1_a1_1_m76_320x.jpg?v=1698276797,https://www.aloyoga.com/products/w1445r-ribbed-sea-coast-cropped-short-sleeve-tee-ivory,"Ivory, Ivory, Black",,,,2025-09-06 14:02:20
Accolade Crew Neck Pullover - Espresso,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U3031RG_04064_b2_s1_a2_1_m190_320x.jpg?v=1756827811,https://www.aloyoga.com/products/u3031rg-accolade-crew-neck-pullover-espresso,"Espresso, 9, 9, Espresso, Black, Athletic Heather Grey, Gravel, Anthracite, White, Pink Wild Rose",,,,2025-09-06 14:02:21
Accolade Straight Leg Sweatpant - Espresso,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U5012RG_04064_b2_s1_a1_1_m256_320x.jpg?v=1756827501,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-espresso,"Espresso, 7, 7, Espresso, Black, Athletic Heather Grey, Gravel, Winter Ivy, Mushroom, Green Olive",,,,2025-09-06 14:02:22
Cropped Gold Rush Puffer Vest - Espresso,,$168,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W4639R_04064_b2_s1_a3_m256_320x.jpg?v=1756827441,https://www.aloyoga.com/products/w4639r-extreme-cropped-gold-rush-puffer-vest-espresso,"Espresso, Espresso, Black, Ivory, Mushroom, Toasted Almond",,,,2025-09-06 14:02:22
Accolade Hoodie - Green Olive,,$138,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U3032RG_06464_b2_s1_a3_m256_320x.jpg?v=1756322946,https://www.aloyoga.com/products/u3032rg-accolade-hoodie-green-olive,"Green Olive, 3, 3, Green Olive, Black, Espresso, Bone, Athletic Heather Grey, Ivory, Navy",,,,2025-09-06 14:02:23
Accolade Straight Leg Sweatpant - Green Olive,,$128,,,https://cdn.shopify.com/s/files/1/2185/2813/files/U5012RG_06464_b1_s1_a2_m18_320x.jpg?v=1755904867,https://www.aloyoga.com/products/u5012rg-accolade-straight-leg-sweatpant-green-olive,"Green Olive, 7, 7, Green Olive, Black, Espresso, Athletic Heather Grey, Gravel, Winter Ivy, Mushroom",,,,2025-09-06 14:02:23
Airlift Intrigue Bra - Green Olive,,$68,,,https://cdn.shopify.com/s/files/1/2185/2813/files/W9557R_06464_b1_s1_a1_m18_320x.jpg?v=1755865786,https://www.aloyoga.com/products/w9557r-airlift-intrigue-bra-green-olive,"Green Olive, 12, 12, Green Olive, Black, Espresso, Navy, Anthracite, Toasted Almond, Pink Wild Rose",,,,2025-09-06 14:02:24
