product_id,wishlist_pid,name,brand,price,original_price,category,available_sizes,flag,tags,promotion,url,image_url
001125_DANIELLZA-GG264-0069,001125_DANIELLZA-GG264-0069,Dani Floral Maxi Dress,ALTAR'D STATE,128,128,Clothing/Dresses,"XXS, XS, S, M",Best Seller,,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/dani-floral-maxi-dress/001125_DANIELLZA-GG264-0069.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw8d1f939e/image/001125_DANIELLZA-GG264_SKY-BLUE_00.JPG?sw=300&sh=450&q=98
004171_ASWD-241-212-0019,004171_ASWD-241-212-0019,Eva Satin Midi Dress,ALTAR'D STATE,82,82,Clothing/Dresses,"XXS, XS, S, M, L, XL, 3XL",Top Rated,top_rated,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/eva-satin-midi-dress/004171_ASWD-241-212-0019.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwe04a27dc/image/004171_ASWD-241-212_NAVY_00.JPG?sw=300&sh=450&q=98
001062_ADE0038-FGI-0019,001062_ADE0038-FGI-0019,Tami Lace Tiered Maxi Dress,ALTAR'D STATE,104,104,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/tami-lace-tiered-maxi-dress/001062_ADE0038-FGI-0019.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw095a4af5/image/001062_ADE0038-FGI_NAVY_00.JPG?sw=300&sh=450&q=98
001163_D45903-05A-4770,001163_D45903-05A-4770,Mckenna Floral Maxi Dress,ALTAR'D STATE,104,104,Clothing/Dresses,"XXS, XS, S, M, L, XL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/mckenna-floral-maxi-dress/001163_D45903-05A-4770.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw4037bbc8/image/001163_D45903-05A_BURGUNDY-MULTI_00.JPG?sw=300&sh=450&q=98
001890_E0903K994JD-25-4911,001890_E0903K994JD-25-4911,Dorothy Sequin Mini Dress,ALTAR'D STATE,74,74,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/dorothy-sequin-mini-dress/001890_E0903K994JD-25-4911.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw0c1b4371/image/001890_E0903K994JD-25_HUNTER-GREEN_00.JPG?sw=300&sh=450&q=98
004073_CD30247N-0001,004073_CD30247N-0001,Camdyn Strapless Denim Mini Dress,ALTAR'D STATE,78,78,Clothing/Dresses,"XS, M, L",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/camdyn-strapless-denim-mini-dress/004073_CD30247N-0001.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw6a57a017/image/004073_CD30247N_DENIM_00.JPG?sw=300&sh=450&q=98
001125_AYRES-Z408-0061,001125_AYRES-Z408-0061,Connie Satin Maxi Dress,ALTAR'D STATE,92,92,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/connie-satin-maxi-dress/001125_AYRES-Z408-0061.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw87beabd1/image/001125_AYRES-Z408_WINE_00.JPG?sw=300&sh=450&q=98
004418_KENNA-AS-0061,004418_KENNA-AS-0061,Kenna Tulle Maxi Dress,ALTAR'D STATE,88,88,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/maxi-midi/kenna-tulle-maxi-dress/004418_KENNA-AS-0061.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw7d508051/image/004418_KENNA-AS_WINE_09.JPG?sw=300&sh=450&q=98
002044_D52404-25-1154,002044_D52404-25-1154,Cheryl Smocked Mini Dress,ALTAR'D STATE,78,78,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/cheryl-smocked-mini-dress/002044_D52404-25-1154.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dw820d1d6a/image/002044_D52404-25_CHOCOLATE-BROWN_00.JPG?sw=300&sh=450&q=98
001890_E0903K994JD-25-0082,001890_E0903K994JD-25-0082,Dorothy Sequin Mini Dress,ALTAR'D STATE,74,74,Clothing/Dresses,"XXS, XS, S, M, L, XL, XXL, 3XL",New,new,BOGO 50% Off Dresses + Rompers,https://www.altardstate.com/as/clothing/dresses/mini-dresses/dorothy-sequin-mini-dress/001890_E0903K994JD-25-0082.html,https://www.altardstate.com/dw/image/v2/BDDX_PRD/on/demandware.static/-/Sites-as_catalog/default/dwa4f7abee/image/001890_E0903K994JD-25_BURGUNDY_00.JPG?sw=300&sh=450&q=98
