product_id,name,current_price,original_price,discount,available_sizes,colors,availability,url,image_url
s21729_gray-and-white,Saphi Striped Oversized Knit Sweater,$34.00,$68.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21729_gray-and-white,https://edikted.com/cdn/shop/files/Edikted_lookbook_09_02_202520889.jpg?v=1757250494&width=600
s21127_navy,Starly Straight Leg Sweatpants,$42.00,$84.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21127_navy,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_05_20246261_711eef29-e7ef-49f6-974d-e96a70789165.jpg?v=1756382153&width=600
s14091_blue,Raelynn Washed Low Rise Jeans,$39.20,$98.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s14091_blue,https://edikted.com/cdn/shop/files/s14091_blue_1.jpg_v_1718550034_copy_d34539bc-44a4-48c4-9874-11a0bd36d7da.jpg?v=1753025147&width=600
s19838_gold,Shiny Knit Cowl Neck Backless Top,$19.20,$64.00,70% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s19838_gold,https://edikted.com/cdn/shop/files/Edikted_Lookbook_03_31_2025195212_47ffe490-f927-4349-a722-85d303045822.jpg?v=1753005226&width=600
s11233_black,Aisha Low-Rise Mini Skirt,$23.20,$58.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s11233_black,https://edikted.com/cdn/shop/files/Edikted_Lookbook_01_15_2025148196copy.jpg?v=1737367614&width=600
s20431_black,Issey Layered Bra Cowl Neck Top,$24.00,$48.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20431_black,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_21_2025280217.jpg?v=1754560217&width=600
s14091_black-washed,Raelynn Washed Low Rise Jeans,$39.20,$98.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s14091_black-washed,https://edikted.com/cdn/shop/files/Edikted_lookbook_06_27_202317853_2d1e1904-4f13-40e0-a895-b000eda5265a.jpg?v=1689172394&width=600
s18838_black-and-white,Polka Dot Backless Chiffon Top,$19.00,$38.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s18838_black-and-white,https://edikted.com/cdn/shop/files/Edikted_Lookbook_12_11_2024132991.jpg?v=1734347458&width=600
s15132_white,Roman Low Rise Slouchy Jeans,$29.40,$98.00,70% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s15132_white,https://edikted.com/cdn/shop/files/Edikted_Lookbook_09_18_202479553.jpg?v=1727028289&width=600
s18686_dark-blue,Layered Bra Cowl Neck Top,$24.00,$48.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s18686_dark-blue,https://edikted.com/cdn/shop/files/Eedikted_Lookbook_08_13_202511592.jpg?v=1755598408&width=600
s14091_blue-washed,Raelynn Washed Low Rise Jeans,$39.20,$98.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s14091_blue-washed,https://edikted.com/cdn/shop/files/Edikted_Lookbook_10_09_202498308.jpg?v=1728951509&width=600
s21685_black,Daliya Polka Dot Long Sleeve Top,$24.00,$48.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21685_black,https://edikted.com/cdn/shop/files/Edikted_lookbook_09_02_202523566.jpg?v=1757247765&width=600
s20261_blue-washed,Camelia Denim Mini Skort,$38.00,$76.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20261_blue-washed,https://edikted.com/cdn/shop/files/Edikted_Lookbook_04_29_2025212142.jpg?v=1746630133&width=600
s17159_black-washed,Washed Faux Leather Micro Cargo Shorts,$31.20,$78.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s17159_black-washed,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_01_202429727_55d040c3-79ab-4590-961d-d7da80ebc822.jpg?v=1721129420&width=600
s21677_gray-melange,Kaliya Stripey Fold Over Knit Pants,$37.00,$74.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21677_gray-melange,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_27_202514269.jpg?v=1756815885&width=600
s17474_dark-gray,Bonney Bow Detail Sweatpants,$23.40,$78.00,70% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s17474_dark-gray,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_06_202454451_5c3d8080-7b39-413f-a3c5-4ce2f6dbde97.jpg?v=1726504975&width=600
s21386_black,Layered Lacey Cowl Neck Halter Top,$24.00,$48.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21386_black,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_27_202517192.jpg?v=1757015001&width=600
s20070_light-blue,Astra Beaded Sheer Strapless Top,$33.00,$66.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20070_light-blue,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_05_20245030.jpg?v=1756634422&width=600
s17816_gray-melange,Makenna Scoop Neck Top,$19.00,$38.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s17816_gray-melange,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_05_20244329_92844632-6416-452f-b0a1-27f802bc3353.jpg?v=1755191310&width=600
s21784_red,Rayla Striped Button Up Top,$25.00,$50.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21784_red,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_27_202516292.jpg?v=1756978509&width=600
s20870_black,Raphaella Romper,$36.00,$72.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20870_black,https://edikted.com/cdn/shop/files/Edikted_lookbook_09_03_202526693copy.jpg?v=1757257057&width=600
s19732_white,Monrow Micro Skort,$16.20,$54.00,70% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s19732_white,https://edikted.com/cdn/shop/files/Edikted_Lookbook_04_01_2025197058_1f629944-f76b-4910-b227-e742f81bead9.jpg?v=1752999489&width=600
s18958_white,Michaela Off Shoulder Knit Top,$24.00,$48.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s18958_white,https://edikted.com/cdn/shop/files/Edikted_Lookbook_03_31_2025191895_67127a1e-9f84-4777-b44c-662d8ecce5d0.jpg?v=1752996384&width=600
s15782_black-washed,Petite Raelynn Washed Low Rise Jeans,$38.40,$96.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s15782_black-washed,https://edikted.com/cdn/shop/files/1_7105e9b4-5d81-4e6a-bf4d-40546265f94e.jpg?v=1739260852&width=600
s21707_blue-washed,Heartly Low Rise Straight Leg Jeans,$54.00,$108.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21707_blue-washed,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_27_202514119.jpg?v=1756816176&width=600
s21322_brown,Ronie Contrast Raglan Top,$22.00,$44.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21322_brown,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_27_202516175.jpg?v=1756816196&width=600
s21242_olive,Raia Beaded Babydoll Top,$36.00,$72.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21242_olive,https://edikted.com/cdn/shop/files/Eedikted_Lookbook_08_13_20259644.jpg?v=1756636048&width=600
s19328_black,Jagger Low Rise Denim Shorts,$39.00,$78.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s19328_black,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_21_2025280070copy.jpg?v=1753962226&width=600
s20851_brown,Chelsie Polka Dot Foldover Shorts,$23.00,$46.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20851_brown,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_05_20245070_a83c6c9b-0be9-45dd-9fe1-2964eb7a0d06.jpg?v=1756218095&width=600
s16968_brown,Built In Bra Tube Top,$21.00,$42.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s16968_brown,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_05_20247959.jpg?v=1754996278&width=600
s21433_black,Studded Drop Waist Backless Mini Dress,$37.00,$74.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21433_black,https://edikted.com/cdn/shop/files/4_2e782a59-f442-4dc0-a749-42467dca98ce.jpg?v=1757115589&width=600
s19747_navy-and-white,Lorenza Striped Halter Top,$10.20,$34.00,70% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s19747_navy-and-white,https://edikted.com/cdn/shop/files/11_b7a9abf1-061a-4b9d-b159-3d2f3dc96f3f.jpg?v=1752171205&width=600
s16802_black,Piper Micro Skort,$28.00,$56.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s16802_black,https://edikted.com/cdn/shop/files/Edikted_Lookbook_10_04_202493289_60a87b2f-26d4-4815-8451-e673631748d7.jpg?v=1730036973&width=600
s15782_light-blue,Petite Raelynn Washed Low Rise Jeans,$38.40,$96.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s15782_light-blue,https://edikted.com/cdn/shop/files/Edikted_Ecomm_01_03_20241035_0ca6bdb4-fff8-4bfc-b558-126ce4099af9.jpg?v=1705311447&width=600
s21538_cream,Palm Springs Light Knit Sweater,$38.00,$76.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21538_cream,https://edikted.com/cdn/shop/files/Edikted_lookbook_09_03_202530956.jpg?v=1757250390&width=600
s20186_white-and-black,Oleana Gathered Bust Top,$19.00,$38.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20186_white-and-black,https://edikted.com/cdn/shop/files/Edikted_Lookbook_06_04_2025236263.jpg?v=1749172985&width=600
s20677_brown,Eleora Sequin Knit Tank Top,$23.00,$46.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20677_brown,https://edikted.com/cdn/shop/files/8_73092e71-a484-4344-9a36-6c0eb38e236d.jpg?v=1757115347&width=600
s21198_dark-brown,Giana Iridescent Strapless Cowl Neck Top,$25.00,$50.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21198_dark-brown,https://edikted.com/cdn/shop/files/Edikted_Lookbook_06_25_2025252235.jpg?v=1753282121&width=600
s19189_black-washed,Washed Faux Leather Mini Skort,$39.00,$78.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s19189_black-washed,https://edikted.com/cdn/shop/files/Edikted_Lookbook_12_11_2024134423.jpg?v=1735123469&width=600
s15664_black,Jasmine Sheer Lace Top,$28.00,$56.00,50% OFF,"XS, S, M, L",N/A,In Stock,https://edikted.com/collections/all/products/s15664_black,https://edikted.com/cdn/shop/files/Edikted_Ecommerce_01_11_20236418.jpg?v=1713715617&width=600
s19411_light-blue,Amaris Oversized Striped Knit Sweater,$21.60,$72.00,70% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s19411_light-blue,https://edikted.com/cdn/shop/files/Edikted_Lookbook_01_16_2025150630.jpg?v=1737990543&width=600
s21314_gray,Zane Contrast Layered Long Sleeve Top,$30.00,$60.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21314_gray,https://edikted.com/cdn/shop/files/Edikted_lookbook_09_02_202523943.jpg?v=1757247560&width=600
s20990_white-and-black,Blaire Polka Dot Halter Top,$22.00,$44.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20990_white-and-black,https://edikted.com/cdn/shop/files/4_4f763732-d02b-4b66-acd0-7617242b974e.jpg?v=1756491619&width=600
s21415_red,Maycee Knit Micro Shorts,$21.00,$42.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21415_red,https://edikted.com/cdn/shop/files/Edikted_lookbook_09_03_202526156.jpg?v=1757248388&width=600
s19977_burgundy,Knotted One Shoulder Asymmetric Top,$17.00,$34.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s19977_burgundy,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_05_20245674.jpg?v=1754986102&width=600
s21444_brown,Araura Velvet Floral Sheer Top,$32.00,$64.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21444_brown,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_27_202518269.jpg?v=1756816015&width=600
s16732_olive,Dara Halter Top,$21.00,$42.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s16732_olive,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_05_20245513copy_70aac03d-dbc9-4a71-9ca4-334992eb5fa4.jpg?v=1754938267&width=600
s21409_black,Lera Lacey Sheer Mesh Top,$24.00,$48.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21409_black,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_21_2025277830.jpg?v=1754394826&width=600
s14091_indigo-blue-raw-washed,Raelynn Washed Low Rise Jeans,$39.20,$98.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s14091_indigo-blue-raw-washed,https://edikted.com/cdn/shop/files/Edikted_Lookbook_10_09_202497216_29a9882b-8a7d-48a5-bb5a-925b4802b50c.jpg?v=1728951901&width=600
s21577_blue,Moreen Ribbed Long Sleeve T Shirt,$22.00,$44.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21577_blue,https://edikted.com/cdn/shop/files/Eedikted_Lookbook_08_13_202511894.jpg?v=1756636024&width=600
s16647_black,Lou Crossover Beaded Corset,$27.20,$68.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s16647_black,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_01_202431230.jpg?v=1719999563&width=600
s21078_light-pink,Major Love Edikted Hoodie,$44.00,$88.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21078_light-pink,https://edikted.com/cdn/shop/files/Edikted_lookbook_07_01_2025267669copy.jpg?v=1753685812&width=600
s20584_black,Aida Backless Bubble Mini Dress,$38.00,$76.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20584_black,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_04_20252199.jpg?v=1754565721&width=600
s21287_white,Havana Grommet Ribbed Foldover Mini Skort,$23.00,$46.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21287_white,https://edikted.com/cdn/shop/files/acom_41.jpg?v=1756072220&width=600
s20366_pink,Ayva Embroidered Floral Bead Halter Top,$38.00,$76.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20366_pink,https://edikted.com/cdn/shop/files/Edikted_Lookbook_06_04_2025234718.jpg?v=1752170399&width=600
s21107_light-pink,Embroidered Cotton Button Up Top,$30.00,$60.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21107_light-pink,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_07_2025270054.jpg?v=1753282359&width=600
s17250_leopard,Sequin Leopard Printed Micro Shorts,$24.80,$62.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s17250_leopard,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_02_202434694.jpg?v=1720336449&width=600
s19977_black,Knotted One Shoulder Asymmetric Top,$17.00,$34.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s19977_black,https://edikted.com/cdn/shop/files/Edikted_LKookbook_06_10_2025243339.jpg?v=1749781872&width=600
s21087_navy,Lorenzo Polka Dot T Shirt,$19.00,$38.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21087_navy,https://edikted.com/cdn/shop/files/Edikted_lookbook_09_02_202524503.jpg?v=1757248481&width=600
s15999_blue,Nikki Nylon Shorts,$19.20,$48.00,60% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s15999_blue,https://edikted.com/cdn/shop/files/Edikted_lookbook_06_05_202419323_f9aaeadf-b8f6-4951-a7fe-1dc2bd301f57.jpg?v=1719151637&width=600
s21308_brown,Imrie Plaid Collared Halter Top,$26.00,$52.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21308_brown,https://edikted.com/cdn/shop/files/Edikted_Lookbook_08_04_20250518.jpg?v=1755175619&width=600
s18523_dark-blue,Ciel Split Front Denim Halter Top,$25.20,$84.00,70% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s18523_dark-blue,https://edikted.com/cdn/shop/files/Edikted_Lookbook_01_29_2025155955_c4920a19-9e3b-435e-9e6f-3f1037446e33.jpg?v=1753024888&width=600
s14259_mix,Indira Printed Cupped Lace Up Corset,$23.40,$78.00,70% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s14259_mix,https://edikted.com/cdn/shop/files/Edikted_Lookbook_07_10_20230388copy_b4ff1024-44a4-408e-b355-de94621f369a.jpg?v=1726677870&width=600
s20431_brown,Issey Layered Bra Cowl Neck Top,$24.00,$48.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s20431_brown,https://edikted.com/cdn/shop/files/Edikted_Lookbook_06_03_2025230441.jpg?v=1750155245&width=600
s21702_gray,Asymmetric Striped One Shoulder Top,$24.00,$48.00,50% OFF,"XS, S, M, L, XL",N/A,In Stock,https://edikted.com/collections/all/products/s21702_gray,https://edikted.com/cdn/shop/files/Eedikted_Lookbook_08_13_202510847.jpg?v=1756295827&width=600
