product_id,name,price,currency,variant,brand,category,available_colors,url,image_url
1-1859-000001-0124,Wool Blend Fringe Detail Coat,209.95,,Camel,Olivia TPS x NA-KD,,Beige,https://www.na-kd.com/en/products/wool-blend-fringe-detail-coat-camel-1859-000001-0124,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/wool_blend_fringe_detail_coat_1859-000001-0124_3_campaign.jpg?ref=7321AF56DE"
1-1859-000000-5786,Corduroy Detail Jacket,139.95,,Beige Print,Olivia TPS x NA-KD,,Beige,https://www.na-kd.com/en/products/corduroy-detail-jacket-beige-print-1859-000000-5786,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/corduroy_detail_jacket_1859-000000-5786_4_campaign.jpg?ref=91FC6664BD"
1-1100-010799-0315,Suede Jacket,309.95,,Cognac,,,Brown,https://www.na-kd.com/en/products/suede-jacket-cognac-1100-010799-0315,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/suede_jacket-1100-010799-0315_campaign_2.jpg?ref=392817AF74"
1-1100-009610-0017,Wool Blend Coat,149.95,,Brown,,,"Brown, Black, Dark Grey",https://www.na-kd.com/en/products/wool-blend-oversized-coat-brown-1100-009610-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/wool_blend_oversized_coat_1100-009610-0017_0023.jpg?ref=FB4DB73E4B"
1-1859-000013-0017,Regular fit blazer with check details,99.95,,Brown,Olivia TPS x NA-KD,,Checkered / Brown,https://www.na-kd.com/en/products/regular-fit-checked-detail-blazer-brown-1859-000013-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/regular_fit_checked_detail_blazer_1859-000013-0017_82_campaign.jpg?ref=64B5DEB655"
1-1100-010184-0001,Sculpted Blazer,99.95,,White,,,"White, Black, Brown",https://www.na-kd.com/en/products/sculpted-blazer-white-1100-010184-0001,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/emmaaavo__1100-010184-0001_social.jpg?ref=7354A91A47"
1-1018-008235-1230,Low Waist Jeans,75.95,,DK Grey,,,"Dark Grey, Light Blue, Blue, Dark Blue, Black, Mid Blue, Light Grey, Dark Blue",https://www.na-kd.com/en/products/super-low-waist-y2k-jeans-dk-grey-1018-008235-1230,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/low_waist_jeans-1018-008235-12305591649.jpg?ref=36AC67832F"
1-1100-009610-0002,Wool Blend Coat,149.95,,Black,,,"Black, Brown, Dark Grey",https://www.na-kd.com/en/products/wool-blend-oversized-coat-black-1100-009610-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/wool_blend_oversized_coat_1100-009610-0002_0040.jpg?ref=AA6F76D7EB"
1-1708-000079-1844,Oversized Long Trenchcoat,149.95,,Dark Beige,Josefine HJ x NA-KD,,"Dark Beige, Grey",https://www.na-kd.com/en/products/oversized-long-trenchcoat-dark-beige-1708-000079-1844,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/oversized_long_trenchcoat_1708-000079-1844_0033.jpg?ref=62108E6F4C"
1-1100-010184-0002,Sculpted Blazer,99.95,,Black,,,"Black, White, Brown",https://www.na-kd.com/en/products/sculpted-blazer-black-1100-010184-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/sculpted_blazer_1100-010184-0002embroderied_maxi_skirt_1100-010545-000219173.jpg?ref=B5E09A8B70"
1-1100-011740-0366,High Neck Short Coat,95.95,,Dark Grey,,,"Dark Grey, Beige, Black",https://www.na-kd.com/en/products/high-neck-short-coat-dark-grey-1100-011740-0366,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/high_neck_short_coat_1100-011740-0366_curated.jpg?ref=63809F14BF"
1-1100-008345-0017,Belted Short Trenchcoat,99.95,,Brown,,,"Brown, Khaki Green, Black, Beige",https://www.na-kd.com/en/products/belted-short-trenchcoat-brown-1100-008345-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/sarabiderman_1100-008345-0017_social4.jpg?ref=8484FA9BC1"
1-1018-008235-0047,Low Waist Jeans,75.95,,Light Blue,,,"Light Blue, Dark Grey, Blue, Dark Blue, Black, Mid Blue, Light Grey, Dark Blue",https://www.na-kd.com/en/products/low-waist-jeans-light-blue-1018-008235-0047,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/chloeshuterman_1018-008235-0047_social.jpg?ref=99C0495D92"
1-1100-011465-0017,Contrast Seam Faux Suede Jacket,99.95,,Brown,,,"Brown, Brown",https://www.na-kd.com/en/products/contrast-seam-faux-suede-jacket-brown-1100-011465-0017,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/contrast_seam_faux_suede_jacket_1100-011465-0017_curated.jpg?ref=40021AA98D"
1-1100-009804-0002,Long Trenchcoat,129.95,,Black,,,"Black, Burgundy, Dark Grey, Light Beige",https://www.na-kd.com/en/products/long-trenchcoat-black-1100-009804-0002,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/long_trenchcoat_1100-009804-000221562.jpg?ref=775B700A46"
1-1100-011874-0116,Mid Waist Loose Straight Denim,59.95,,Mid Blue,,,"Mid Blue, Dark Grey, Dark Blue",https://www.na-kd.com/en/products/mid-waist-loose-straight-denim-mid-blue-1100-011874-0116,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/sarabiderman_1100-011874-0116_social.jpg?ref=7ADCD0090B"
1-1100-007136-1478,Wide High Waist Jeans,59.95,,Rinse Wash,,,"Dark Blue, White, Light Blue, Mid Blue, Black, Dark Grey, Grey, Brown",https://www.na-kd.com/en/products/wide-high-waist-jeans-rinse-wash-1100-007136-1478,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/wide_high_waist_jeans-1100-007136-1478_0029.jpg?ref=72A8F302DD"
1-1100-010371-0260,Soft Line Draped Top,35.95,,Offwhite,,,"Offwhite, Black, Brown, Red",https://www.na-kd.com/en/products/soft-line-draped-top-offwhite-1100-010371-0260,"https://www.na-kd.com/cdn-cgi/image/width=300,quality=80,sharpen=0.3/globalassets/soft_line_draped_top-1100-010371-0260_1728.jpg?ref=FD59F00EDD"
