product_id,name,color,price,available_colors,url,image_url
womens-halo-essential-wideleg-short-black-heather,Halo Essential Wideleg Pant - Short,Black Heather,$108,"Black Heather, Ecru Heather, Java Heather, Blue Coast Heather, Nutmeg Heather",https://vuoriclothing.com/products/womens-halo-essential-wideleg-short-black-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4023-SHBK_SP25_W_ECOMM_BOTTOMS_FRONT_2.jpg?v=1743792707&width=800&height=1000&crop=center
womens-vuori-allthefeels-legging-black,Vuori AllTheFeels™ Legging,Black,$98,"Black, Java, Magenta, Sea Spray, Blue Coast",https://vuoriclothing.com/products/womens-vuori-allthefeels-legging-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4018BLK_FA24_W_ECOMM_PANTS_DETAIL_17.jpg?v=1723522679&width=800&height=1000&crop=center
womens-long-sleeve-feather-tee-washed-black,Long-Sleeve Feather Tee,Washed Black,$64,"Washed Black, White, Smokey Taupe",https://vuoriclothing.com/products/womens-long-sleeve-feather-tee-washed-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/products/VW1028WBL_01994_top.jpg?v=1688710007&width=800&height=1000&crop=center
womens-performance-jogger-black-heather,Performance Jogger,Black Heather,$94,"Black Heather, Charcoal Heather, Java Heather, Magenta Heather, Pale Grey Heather, Midnight Heather, Smoke Blue Heather, Ecru Heather, Sea Spray Heather, Huckleberry Heather, Raisin, Spring Heather",https://vuoriclothing.com/products/womens-performance-jogger-black-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW303HBK_FA23_W_ECOMM_PANTS_FULL_17_1.jpg?v=1752682462&width=800&height=1000&crop=center
womens-halo-essential-wideleg-ecru-heather,Halo Essential Wideleg Pant,Ecru Heather,$108,"Ecru Heather, Black Heather, Java Heather, Blue Coast Heather, Nutmeg Heather",https://vuoriclothing.com/products/womens-halo-essential-wideleg-ecru-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4023HEE_FA24_W_ECOMM_PANTS_SIDE_5.jpg?v=1721423424&width=800&height=1000&crop=center
womens-energy-top-long-blue-coast,Energy Top Long,Blue Coast,$54,"Blue Coast, Black, Heather Grey, White, Spearmint Heather",https://vuoriclothing.com/products/womens-energy-top-long-blue-coast?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1156BCO_FA25_W_ECOMM_TOPS_FRONT_2.jpg?v=1752697276&width=800&height=1000&crop=center
womens-long-sleeve-tuvalu-henley-light-heather-grey,Long Sleeve Tuvalu Henley,Light Heather Grey,$78,"Light Heather Grey, Black, Huckleberry, White",https://vuoriclothing.com/products/womens-long-sleeve-tuvalu-henley-light-heather-grey?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1386LHG_FA25_W_ECOMM_TOPS_DETAIL_9.jpg?v=1752785470&width=800&height=1000&crop=center
womens-vuori-allthefeels-legging-short-black,Vuori AllTheFeels™ Legging - Short,Black,$98,"Black, Magenta, Sea Spray, Blue Coast",https://vuoriclothing.com/products/womens-vuori-allthefeels-legging-short-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4018-SBLK_FA24_W_ECOMM_PANTS_FRONT_BOTTOMS_15.jpg?v=1721074607&width=800&height=1000&crop=center
womens-daydream-crew-black-heather,Daydream Crew,Black Heather,$64,"Black Heather, Light Heather Grey, White, Sedona Brown Heather, Huckleberry, Raisin, Spearmint Heather",https://vuoriclothing.com/products/womens-daydream-crew-black-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW133HBK_SP24_W_ECOMM_TOPS_FRONT_1.jpg?v=1715199557&width=800&height=1000&crop=center
womens-halo-essential-wideleg-long-black-heather,Halo Essential Wideleg Pant - Long,Black Heather,$108,"Black Heather, Ecru Heather, Java Heather, Blue Coast Heather",https://vuoriclothing.com/products/womens-halo-essential-wideleg-long-black-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4023-LHBK_FA23_W_ECOMM_PANTS_FRONT_9.jpg?v=1736551355&width=800&height=1000&crop=center
womens-canyon-insulated-jacket-black,Canyon Insulated Jacket,Black,$188,"Black, Bone, Glacier, Pumice, Raisin",https://vuoriclothing.com/products/womens-canyon-insulated-jacket-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW532BLK_FA23_W_ECOMM_jackets_CREATIVE_14_cd9ddfdb-7844-4899-9841-7cba08eb2a2a.jpg?v=1753824848&width=800&height=1000&crop=center
womens-halo-essential-scoop-tank-huckleberry-heather,Halo Essential Scoop Tank,Huckleberry Heather,$58,"Huckleberry Heather, Chia Heather, Spring Heather, White, Sea Spray Heather, Shade Heather",https://vuoriclothing.com/products/womens-halo-essential-scoop-tank-huckleberry-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1212HHB_FA25_W_TOPS_FRONT_3.jpg?v=1753919183&width=800&height=1000&crop=center
womens-halo-cardigan-2-0-black-heather,Halo Cardigan 2.0,Black Heather,$98,"Black Heather, Java Heather, Pale Grey Heather, Nutmeg Heather",https://vuoriclothing.com/products/womens-halo-cardigan-2-0-black-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW1396HBK_SP25_W_ECOMM_TOPS_FRONT_3.jpg?v=1743021040&width=800&height=1000&crop=center
womens-halo-performance-hoodie-2-0-black-heather,Halo Performance Hoodie 2.0,Black Heather,$98,"Black Heather, Pale Grey Heather, Midnight Heather, Spring Heather, Huckleberry Heather, Sea Spray Heather",https://vuoriclothing.com/products/womens-halo-performance-hoodie-2-0-black-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW268HBK_FA25_W_ECOMM_LAYERS_FRONT_1.jpg?v=1751489275&width=800&height=1000&crop=center
womens-villa-low-slung-trouser-black,Villa Low Slung Trouser,Black,$118,"Black, Cavern Grey, Vintage Rose",https://vuoriclothing.com/products/womens-villa-low-slung-trouser-black?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4361BLK_FA25_W_BOTTOMS_FRONT_2.jpg?v=1752692948&width=800&height=1000&crop=center
womens-halo-foldover-pant-black-heather,Halo Foldover Pant,Black Heather,$108,"Black Heather, Pale Grey Heather, Chocolate Milk Heather",https://vuoriclothing.com/products/womens-halo-foldover-pant-black-heather?queryId=1e7c34afc9ae7b91c272168e8ad1de91&collection=womens,https://cdn.shopify.com/s/files/1/0022/4008/6074/files/VW4339HBK_SP25_W_ECOMM_BOTTOMS_SIDE_2.jpg?v=1743551672&width=800&height=1000&crop=center
